,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
1059,Mazda,3,2016,Blanco,Gasolina,4,Mecánica,2.0,Sedán,67437 km,57.490.000,https://carro.mercadolibre.com.co/MCO-913183135-kia-sportage-fq-modelo-2015-_JM#position=4&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Laureles - Medellín
1060,Volkswagen,Gol,2021,Plateado,Gasolina,5,Mecánica,1.6,Hatchback,7000 km,52.490.000,https://carro.mercadolibre.com.co/MCO-911945331-mitsubishi-montero-hard-top-modelo-2016-_JM#position=5&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1061,Toyota,Hilux,2022,Blanco,Gasolina,2,Mecánica,2700,Pick-Up,0 km,104.000.000,https://carro.mercadolibre.com.co/MCO-910706047-chevrolet-traverse-high-country-2019-_JM#position=6&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1062,Suzuki,Swift,2014,Blanco,Gasolina,5,Automática,1.4,Hatchback,98000 km,42.000.000,https://carro.mercadolibre.com.co/MCO-909713446-ford-raptor-modelo-2019-_JM#position=7&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1063,Ford,Escape,2015,Plateado,Gasolina,5,Mecánica,2.0,Camioneta,102850 km,65.990.000,https://carro.mercadolibre.com.co/MCO-908314463-ford-edge-2016-_JM#position=8&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1064,Toyota,4Runner,2011,Gris,Gasolina,5,Automática,4.0,Camioneta,166000 km,124.900.000,https://carro.mercadolibre.com.co/MCO-905408367-land-rover-range-rover-evoque-modelo-2020-_JM#position=9&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Laureles - Medellín
1065,Lexus,LX,2018,Gris,Gasolina,5,Automática,5.7,Camioneta,16000 km,520.000.000,https://carro.mercadolibre.com.co/MCO-938324290-toyota-fortuner-28l-2019-_JM#position=10&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1066,Ford,Focus,2014,Negro,Gasolina,4,Automática,2.0,Sedán,67356 km,44.990.000,https://carro.mercadolibre.com.co/MCO-938043394-renault-duster-dynamique-4x2-2015-_JM#position=11&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,San Joaquin - Sabaneta
1067,Renault,Duster,2023,Gris,Gasolina,5,Mecánica,1.3 TURBO,SUV,15 km,91.500.000,https://carro.mercadolibre.com.co/MCO-933657130-nissan-x-trail-exclusive-2017-_JM#position=12&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,San Lucas - Envigado
1068,Dodge,Journey,2015,Azul,Gasolina,5,Automática,2.4,Camioneta,50000 km,54.990.000,https://carro.mercadolibre.com.co/MCO-931847032-mercedes-benz-gla-200-2016-_JM#position=13&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Loma de las brujas - Envigado
1069,Chevrolet,D-Max,2019,Diésel,2,Mecánica,2.5,Pick-Up,NA,60000 km,108.000.000,https://carro.mercadolibre.com.co/MCO-931432085-toyota-prado-txl-2019-_JM#position=14&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Conquistadores - Medellín
1070,Ford,Escape,2017,Blanco,Gasolina,5,Automática,2.0,Camioneta,56000 km,93.500.000,https://carro.mercadolibre.com.co/MCO-931416075-mazda-2-touring-2016-_JM#position=15&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1071,Kia,Sportage,2020,Blanco,Gasolina,5,Automática,2.0,Camioneta,31632 km,115.000.000,https://carro.mercadolibre.com.co/MCO-930123397-bmw-420i-f33-cabriolet-executive-2017-_JM#position=16&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1072,Kia,Cerato,2014,Gris,Gasolina,4,Automática,1.6,Sedán,86600 km,45.000.000,https://carro.mercadolibre.com.co/MCO-924559306-hyundai-atos-prime-2011-_JM#position=17&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Granizal - Medellín
1073,Mercedes-Benz,Clase GLA,2018,Plateado,Gasolina,5,Automática,1.6,Camioneta,59500 km,112.900.000,https://carro.mercadolibre.com.co/MCO-922634202-mazda-3-sport-touring-_JM#position=18&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1074,Mercedes-Benz,Clase C,2020,Gasolina,4,Automática,2.0,Sedán,NA,14500 km,140.000.000,https://carro.mercadolibre.com.co/MCO-906782140-mini-cooper-se-electrico-modelo-2022-_JM#position=19&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1075,Chevrolet,Tracker,2013,Gasolina,5,Mecánica,1.8,Camioneta,NA,49000 km,50.000.000,https://carro.mercadolibre.com.co/MCO-905908029-land-rover-ranger-2018-_JM#position=20&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1076,Toyota,Prado,2020,Plateado,Diésel,5,Automática,3.0,Camioneta,35000 km,340.000.000,https://carro.mercadolibre.com.co/MCO-938854935-chevrolet-aveo-gti-2008-_JM#position=21&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Dorado - Envigado
