,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
94,Chevrolet,Aveo,2013,Gris,Gasolina,4,Mecánica,1.5,Sedán,130000 km,26.000.000,https://carro.mercadolibre.com.co/MCO-908416987-chevrolet-aveo-2013-15-family-_JM,Calarcá - Quindio
95,Kia,CERATO PRO,2018,Gasolina,4,Automática,1.6,Sedán,NA,31950 km,67.400.000,https://carro.mercadolibre.com.co/MCO-938493677-kia-cerato-pro-2018-16l-_JM,Armenia - Quindio
96,Nissan,Versa,2012,Gasolina,4,Mecánica,1.6,Sedán,NA,94000 km,34.000.000,https://carro.mercadolibre.com.co/MCO-931529154-nissan-versa-2012-16-sense-_JM,Armenia - Quindio
97,Mazda,2,2016,Blanco,Gasolina,5,Automática,1.5,Hatchback,70000 km,54.500.000,https://carro.mercadolibre.com.co/MCO-930500701-mazda-2-touring-at-_JM,Armenia - Quindio
98,Chevrolet,Aveo,2012,Gasolina,4,Mecánica,1.5,Sedán,NA,180000 km,25.000.000,https://carro.mercadolibre.com.co/MCO-916522408-chevrolet-family-1500cm-_JM,Armenia - Quindio
99,Renault,Duster Oroch,2017,Gasolina,2,Automática,2.0,Pick-Up,NA,105500 km,68.500.000,https://carro.mercadolibre.com.co/MCO-920800086-renault-duster-oroch-2017-20-dynamique-_JM,Armenia - Quindio
100,Suzuki,Swift,2014,Gasolina,4,Mecánica,1.2,Sedán,NA,72000 km,36.500.000,https://carro.mercadolibre.com.co/MCO-918929341-suzuki-swift-2014-12-dzire-ga-_JM,Armenia - Quindio
101,Ford,Explorer,1997,Azul,Gasolina,4,Automática,4000,Off-Road,237890 km,22.000.000,https://carro.mercadolibre.com.co/MCO-928821249-ford-explorer-xlt-elite-1997-_JM,Armenia - Quindio
102,BMW,X1,2019,Gasolina,5,Automática,2.0,Camioneta,NA,30000 km,122.000.000,https://carro.mercadolibre.com.co/MCO-936076699-bmw-x1-2019-20-f48-sdrive-20i-_JM,Calarcá - Quindio
103,Nissan,Tiida,2014,Plateado,Gasolina,5,Mecánica,1.8,Hatchback,66000 km,38.000.000,https://carro.mercadolibre.com.co/MCO-934569523-nissan-tiida-_JM,Armenia - Quindio
