,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
307,Kia,Picanto,2021,Gris,Gasolina,5,Mecánica,1248,Hatchback,28000 km,49.000.000,https://carro.mercadolibre.com.co/MCO-926133774-audi-q2-35-tfsi-ambition-14-aut-sec-fwd-2021-009-_JM#position=20&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
308,Chevrolet,Vitara,2011,Gris,Gasolina,5,Mecánica,1.6,Camioneta,175700 km,43.000.000,https://carro.mercadolibre.com.co/MCO-924110300-subaru-xv-20i-cvt-aut-sec-awd-2017-726-_JM#position=21&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
309,Chevrolet,Sonic,2014,Blanco,Gasolina,4,Automática,1.6,Sedán,77000 km,37.000.000,https://carro.mercadolibre.com.co/MCO-924140115-volkswagen-jetta-europa-20-mec-fwd-2011-269-_JM#position=22&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
310,Renault,Duster,2015,Gris,Gasolina,5,Mecánica,2.0,Camioneta,62800 km,53.000.000,https://carro.mercadolibre.com.co/MCO-922774840-renault-duster-oroch-dynamique-_JM#position=23&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
311,Nissan,Qashqai,2018,Plateado,Gasolina,5,Automática,2.0,Camioneta,60000 km,96.900.000,https://carro.mercadolibre.com.co/MCO-895640222-toyota-fortuner-24-_JM#position=24&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
312,Nissan,March,2020,Gris,Gasolina,5,Automática,1.6,Hatchback,37250 km,53.000.000,https://carro.mercadolibre.com.co/MCO-938216957-ford-explorer-limited-7-puestos-35-aut-sec-4wd-2017-400-_JM#position=25&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
313,Mercedes-Benz,Clase SLK 200,2009,Negro,Gasolina,2,Mecánica,2.000,Convertible,119600 km,80.900.000,https://carro.mercadolibre.com.co/MCO-934766439-mazda-cx-30-prime-20-mec-fwd-2021-650-_JM#position=26&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
314,Kia,Picanto,2012,Blanco,Gasolina,5,Mecánica,1.2,Hatchback,101000 km,34.500.000,https://carro.mercadolibre.com.co/MCO-932089582-toyota-fortuner-srv-27-aut-sec-rwd-2018-910-_JM#position=27&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
315,BMW,M240I,2019,Naranja,Gasolina,2,Automática,3000,Coupé,49000 km,180.000.000,https://carro.mercadolibre.com.co/MCO-931961846-toyota-hilux-4x4-mec-_JM#position=28&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Turin - Pereira
316,Mitsubishi,Montero,2018,Blanco,Diésel,5,Automática,2.5,Camioneta,70000 km,168.000.000,https://carro.mercadolibre.com.co/MCO-930836973-renault-duster-oroch-intens-_JM#position=29&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
317,Mercedes-Benz,Clase GLC,2019,Gris,Gasolina,5,Automática,2.0,Camioneta,55500 km,188.000.000,https://carro.mercadolibre.com.co/MCO-930117198-honda-cr-v-exl-24-aut-awd-2011-854-_JM#position=30&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
318,Nissan,March,2013,Blanco,Gasolina,5,Mecánica,1.6,Hatchback,125000 km,32.000.000,https://carro.mercadolibre.com.co/MCO-929999017-volkswagen-nuevo-jetta-gli-20-aut-sec-fwd-2014-651-_JM#position=31&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
319,Renault,Koleos,2018,Blanco,Gasolina,5,Automática,2500,Camioneta,51896 km,93.500.000,https://carro.mercadolibre.com.co/MCO-927798611-renault-stepway-zen-_JM#position=32&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
320,Toyota,4Runner,2017,Blanco,Gasolina,5,Automática,4.0,Camioneta,62500 km,199.000.000,https://carro.mercadolibre.com.co/MCO-927096354-kia-picanto-_JM#position=33&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
321,Kia,Sportage,2017,Rojo,Gasolina,5,Automática,2.0,Camioneta,105000 km,85.000.000,https://carro.mercadolibre.com.co/MCO-926159451-chevrolet-vitara-16-mec-4x4-2011-312-_JM#position=34&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
322,Suzuki,Swift,2016,Blanco,Gasolina,4,Mecánica,1.2,Sedán,63000 km,39.500.000,https://carro.mercadolibre.com.co/MCO-924244176-chevrolet-sonic-lt-16-aut-fwd-2014-570-_JM#position=35&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
323,Toyota,Hilux,1998,Rojo,Gasolina,2,Mecánica,2.4,Pick-Up,111111 km,28.500.000,https://carro.mercadolibre.com.co/MCO-923360639-renault-duster-dynamique-20-mec-fwd-2015-291-_JM#position=36&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
324,Renault,Clio,2017,Gris,Gasolina,5,Mecánica,1.2,Hatchback,122000 km,31.500.000,https://carro.mercadolibre.com.co/MCO-922398873-nissan-qashqai-exclusive-20-aut-sec-4wd-2018-200-_JM#position=37&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
325,Hyundai,i10,2012,Rojo,Gasolina,5,Mecánica,1.1,Hatchback,120000 km,28.900.000,https://carro.mercadolibre.com.co/MCO-919970719-nissan-march-sense-16-aut-fwd-2020-000-_JM#position=38&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
326,Renault,Duster,2022,Plateado,Gasolina,5,Mecánica,1600,Camioneta,8000 km,75.900.000,https://carro.mercadolibre.com.co/MCO-917055493-mercedes-benz-slk-200-kompressor-18-mec-fwd-2009-463-_JM#position=39&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
327,Mazda,CX-5,2018,Rojo,Gasolina,5,Automática,2.5,Station Wagon,69000 km,103.500.000,https://carro.mercadolibre.com.co/MCO-916523049-kia-picanto-2012-125-ion-xtrem-_JM#position=40&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
328,Chevrolet,Tracker,2014,Negro,Gasolina,5,Automática,1.8,Camioneta,83400 km,52.900.000,https://carro.mercadolibre.com.co/MCO-916378153-bmw-m240i-coupe-m-perfomance-30-aut-sec-rwd-2019-164-_JM#position=41&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
