,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
255,BMW,Serie 2,2015,Gasolina,2,Automática,3.0,Coupé,NA,71500 km,103.000.000,https://carro.mercadolibre.com.co/MCO-937309890-bmw-serie-2-2015-30-m235i-f22-coupe-_JM,Manizales - Caldas
256,Toyota,Prado,2011,Diésel,5,Mecánica,3.0,Camioneta,NA,180000 km,135.000.000,https://carro.mercadolibre.com.co/MCO-934418831-toyota-prado-2011-30-tx-_JM,Manizales - Caldas
257,Chevrolet,AVEO EMOTION,2011,Gasolina,5,Mecánica,1.6,Hatchback,NA,113956 km,25.000.000,https://carro.mercadolibre.com.co/MCO-932875841-chevrolet-aveo-emotion-2011-16-gti-_JM,La Dorada - Caldas
258,Volkswagen,Gol,2019,Gris,Gasolina,5,Automática,1.6,Hatchback,38000 km,52.500.000,https://carro.mercadolibre.com.co/MCO-932131920-volkswagen-gol-2019-confortline-_JM,San Marcel - Manizales - Caldas
259,Nissan,Kicks,2022,Plateado,Gasolina,5,Automática,xxx,SUV,12800 km,104.000.000,https://carro.mercadolibre.com.co/MCO-927792786-nissan-kicks-modelo-2022-lujosa-_JM,La Francia - Manizales - Caldas
260,Kia,Sportage,2016,Gasolina,5,Mecánica,2.0,Camioneta,NA,6700 km,84.000.000,https://carro.mercadolibre.com.co/MCO-924090335-kia-sportage-zuma-2016-20-_JM,Manizales - Caldas
261,Volkswagen,Jetta,2014,Gasolina,4,Mecánica,2.5,Sedán,NA,91000 km,49.000.000,https://carro.mercadolibre.com.co/MCO-922630577-volkswagen-jetta-2014-25-comfortline-_JM,Manizales - Caldas
262,Chevrolet,Sail,2017,Gasolina,4,Mecánica,1.4,Sedán,NA,75000 km,33.500.000,https://carro.mercadolibre.com.co/MCO-932086411-chevrolet-sail-2017-14-ls-mecanica-_JM,Manizales - Caldas
263,BMW,Bmw  m5 m5,2009,Plateado,Gasolina,5,Automática,V10,NA,42000 km,205.000.000,https://carro.mercadolibre.com.co/MCO-926657456-bmw-m5-e60-nacional-42-mil-km-_JM,Manizales - Caldas
264,Toyota,1993,1993,Negro,Gasolina y gas,4,Mecánica,1fz0047948,Station Wagon,150 km,48.000.000,https://carro.mercadolibre.com.co/MCO-937664888-toyota-burbuja-samurai-japonesa-_JM,Fátima - Manizales - Caldas
265,Nissan,Frontier,2021,Diésel,2,Automática,2.5,Pick-Up,NA,43000 km,160.000.000,https://carro.mercadolibre.com.co/MCO-939400246-nissan-frontier-2021-25-xe-_JM,Manizales - Caldas
266,Kia,Sportage,2012,Gasolina,5,Mecánica,2.0,Camioneta,NA,140000 km,65.000.000,https://carro.mercadolibre.com.co/MCO-939340186-kia-sportage-2012-20-revolution-gasolina-4x2-_JM,Manizales - Caldas
267,Mazda,BT-50,2017,Gris,Diésel,4,Automática,3.2,Pick-Up,99000 km,122.000.000,https://carro.mercadolibre.com.co/MCO-938801536-mazda-bt50-_JM,todo el dia
268,Ford,Explorer,2017,Gasolina,5,Automática,3.5,Camioneta,NA,74000 km,128.000.000,https://carro.mercadolibre.com.co/MCO-938322645-ford-explorer-2017-35-limited-_JM,Manizales - Caldas
269,Mitsubishi,Montero,1990,Gasolina,5,Mecánica,2.6,Camioneta,NA,333134 km,20.000.000,https://carro.mercadolibre.com.co/MCO-937715631-mitsubishi-montero-1990-26-l042-cabinado-_JM,Manizales - Caldas
270,Subaru,Tribeca,2010,Plateado,Gasolina,5,Mecánica,3.6,Camioneta,126300 km,59.000.000,https://carro.mercadolibre.com.co/MCO-937591341-subaru-tribeca-2010-_JM,Palermo - Manizales - Caldas
271,Mazda,2,2015,Gasolina,5,Mecánica,1.5,Hatchback,NA,80000 km,43.000.000,https://carro.mercadolibre.com.co/MCO-936691207-mazda-2-2015-15-15ha1c-_JM,Manizales - Caldas
272,Chevrolet,Captiva,2011,Gasolina,5,Mecánica,3.0,Camioneta,NA,110623 km,35.000.000,https://carro.mercadolibre.com.co/MCO-935308841-chevrolet-captiva-2011-30-sport-4x2-_JM,Manizales - Caldas
273,Chevrolet,Spark GT,2018,Gasolina,5,Automática,1.2,Hatchback,NA,43000 km,38.600.000,https://carro.mercadolibre.com.co/MCO-934553001-chevrolet-spark-gt-2018-12-lt-_JM,Manizales - Caldas
